Belfast,Barrow,1,4,276-371-290-297 399-405-422-416 298-292-314-319 418-424-442-435 321-316-337-342 438-444-462-455 344-338-358-364 457-463-480-474
Belfast,Stranraer,1,1,280-280-306-306 386-392-393-385
Cardiff,Bristol,1,1,275-269-288-294 708-713-729-722
Cork,Penzance,2,6,57-48-54-63 564-566-591-590 64-55-61-70 593-596-620-620 70-62-67-76 623-624-651-649 77-69-74-82 652-654-679-678 83-75-80-89 681-684-710-708 91-81-86-96 712-714-738-736
Dublin,Holyhead,1,2,517-511-534-538 841-846-862-854 541-536-558-563 856-863-877-871
Dundalk,Holyhead,1,3,209-205-226-231 489-494-510-502 234-230-251-256 504-511-524-518
Edinburgh,Aberdeen,1,4,228-222-234-242 436-440-462-458 244-236-250-250 461-465-489-484 259-251-464-272 488-492-514-510
France,Dover,1,2,464-460-484-488 345-351-365-357 491-497-518-511 357-363-346-339 513-522-533-524 336-341-315-311 524-525-534-534 282-308-309-283
France,Southampton,1,3,255-254-264-264 596-570-570-594 262-256-264-270 539-265-566-541
France,Southampton,1,3,351-357-369-362 522-527-504-500
Holyhead,Aberystwyth,1,2,336-342-324-317 529-525-504-511 291-314-312-286 519-510-502-512
Liverpool,Barrow,1,1,539-243-266-262 304-310-298-291 265-270-293-289 290-296-285-278 292-297-320-316 276-283-271-264 319-324-346-342 262-269-257-250 346-351-374-370 249-256-244-237
Liverpool,Holyhead,1,2,254-254-280-281 312-320-323-314 284-284-310-312 315-323-325-317 314-314-342-341 317-325-328-320 344-344-371-371 320-329-330-323
Londonderry,Fort William,1,5,244-240-261-265 322-328-343-337 268-262-284-290 338-345-360-354 293-288-308-314 356-363-378-372
Londonderry,Glasgow,1,4,48-44-68-72 860-867-876-869 74-73-100-101 869-877-883-875 104-104-132-132 875-884-885-877 135-136-162-162 876-885-883-875 165-166-194-192 874-882-879-870 196-197-224-222 870-877-874-865 225-228-254-252 864-872-866-858 279-255-257-282 845-856-864-854 282-286-310-306 845-851-839-832 310-314-336-331 830-836-823-818
Londonderry,Stranraer,1,3,492-496-516-510 446-451-433-427 512-519-533-525 423-429-405-400 526-535-542-532 397-400-374-372 533-543-545-535 368-369-342-342 536-545-544-535 338-338-312-312 536-545-544-536 308-308-282-282
New York,Southampton,3,10,497-493-517-520 458-464-476-468 526-520-536-542 472-478-500-495 546-536-540-549 502-502-530-531 547-539-528-536 537-534-558-562 532-526-505-511 568-561-578-584
Newcastle,Aberdeen,1,6,105-111-131-125 742-747-729-722 130-134-160-157 720-728-720-712 161-163-189-188 711-718-714-706 191-193-220-218 704-713-709-701 222-222-248-245 700-708-703-696
Newcastle,Hull,1,5,102-96-108-115 769-772-795-792 118-118-146-146 794-802-803-794 148-155-174-169 793-801-784-777
Penzance,Cardiff,1,5,191-186-210-212 772-778-790-784 216-213-238-241 784-791-801-793 244-242-268-270 793-801-808-800 274-273-300-302 800-808-814-804 304-304-330-330 804-813-814-806
Penzance,Plymouth,1,3,162-159-184-186 568-576-586-578 188-185-211-214 579-586-598-590 218-214-237-242 591-598-608-602
Plymouth,Southampton,1,5,143-134-135-144 577-577-602-603 144-136-146-156 606-608-634-632 156-151-174-179 634-639-656-650 181-180-206-208 651-658-664-657
Rosslare,Aberystwyth,1,3,250-253-228-225 530-537-546-536 222-224-198-196 538-545-553-546 193-195-170-167 546-554-561-554
Rosslare,Carmarthen,1,4,342-330-338-348 824-848-852-829 329-315-322-336 851-874-878-855 314-298-304-320 877-896-903-882
Rosslare,Holyhead,1,3,352-340-348-358 830-853-857-833 339-324-332-346 856-880-885-861 323-307-314-331 883-903-908-888
Stornoway,Fort William,1,5,368-374-354-348 225-220-202-209 345-352-340-332 203-200-176-179 331-340-342-332 172-172-144-144 334-341-356-349 136-141-119-115 335-360-382-376 109-115-102-96
Stornoway,Ullapool,1,1,410-410-437-436 94-100-102-94 440-441-467-467 94-102-102-94 470-470-497-497 94-102-102-94 501-501-528-528 94-102-102-94 538-530-539-546 100-104-126-126
Stornoway,Wick,1,5,327-320-330-338 399-400-426-423 340-335-360-364 424-432-446-438 367-368-394-393 438-446-442-434
Stranraer,Carlisle,1,3,408-402-416-423 107-111-133-129
Wick,Aberdeen,1,3,539-538-548-548 160-186-186-160 538-537-546-547 188-216-216-189 537-538-547-547 220-245-244-220
